id;director_name;original_title;vote_average;genres;release_date;actor1_name;actor2_name;actor3_name;actor4_name;actor5_name
2433;Jacques Demy;Les demoiselles de Rochefort;7.4;Music|Romance|Drama|Comedy;8/03/1967;Catherine Deneuve;Françoise Dorléac;Jacques Perrin;George Chakiris;Grover Dale
2434;Jacques Trébouta;Le grand secret;0.0;Thriller;13/11/1989;Louise Marleau;Claude Rich;Peter Sattmann;Claude Jade;Fernando Rey
2435;Javier Balaguer;Sólo mía;5.5;Drama|Thriller|Romance;31/10/2001;Sergi López;Paz Vega;Elvira Mínguez;Alberto Jiménez;María José Alfonso
2436;James Yukich;Double Dragon;3.9;Action|Adventure|Comedy|Science Fiction;4/11/1994;Robert Patrick;Mark Dacascos;Scott Wolf;Kristina Wagner;Julia Nickson
2437;Michel Nerval;Le bahut va craquer;0.0;Comedy;6/05/1981;Michel Galabru;Claude Jade;Darry Cowl;Fanny Bastien;Dany Carrel
2438;George Seaton;The Country Girl;6.7;Music|Drama;17/05/1954;Bing Crosby;Grace Kelly;William Holden;Anthony Ross;Gene Reynolds
2440;Park Chan-wook;공동경비구역 JSA;7.7;War|Drama|Thriller;9/09/2000;Song Kang-ho;Lee Young-ae;Lee Byung-hun;Kim Tae-woo;Shin Ha-kyun
2441;Julio Médem;Vacas;5.0;Drama;26/02/1992;Emma Suárez;Carmelo Gómez;Ana Torrent;Karra Elejalde;Klara Badiola
2442;Roger Christian;The Final Cut;7.3;Action|Drama|Thriller;1/03/1996;Sam Elliott;Charles Martin Smith;Kelly Benson;Anne Ramsay;Lloyd Berry
2443;Roy William Neill;The Spider Woman;6.9;Thriller|Crime;21/01/1944;Basil Rathbone;Nigel Bruce;Gale Sondergaard;Dennis Hoey;Vernon Downing
2444;Julio Médem;La ardilla roja;6.7;Drama;21/04/1993;Emma Suárez;Nancho Novo;María Barranco;Karra Elejalde;Carmelo Gómez
2447;Catherine Hardwicke;The Nativity Story;6.5;Drama|History;1/12/2006;Keisha Castle-Hughes;Oscar Isaac;Hiam Abbass;Shaun Toub;Ciarán Hinds
2448;Charles L. Bitsch;Le bonheur des autres;0.0;Comedy;30/10/1990;Claude Jade;Roger Miremont;Féodor Atkine;Nathalie Courval;Yves Afonso
2449;Jacques Richard;Porté disparu;0.0;Drama|Thriller;6/07/1995;Georges Claisse;Claude Jade;Jean Barney;Nicolas Moreau;Fabienne Périneau
2452;Pierre Goutas;Mamie Rose;0.0;Comedy;18/02/1976;Gisèle Casadesus;Claude Jade;Claude Giraud;Eric Najsztat;Mireille Audibert
2453;Simon Wincer;Harley Davidson and the Marlboro Man;6.1;Action|Thriller;23/08/1991;Mickey Rourke;Don Johnson;Chelsea Field;Daniel Baldwin;Giancarlo Esposito
2454;Andrew Adamson;The Chronicles of Narnia: Prince Caspian;6.3;Adventure|Family|Fantasy;15/05/2008;Ben Barnes;William Moseley;Anna Popplewell;Skandar Keynes;Georgie Henley
2455;François Truffaut;Vivement dimanche!;7.0;Thriller|Comedy|Crime|Mystery;10/08/1983;Fanny Ardant;Jean-Louis Trintignant;Philippe Laudenbach;Jean-Pierre Kalfon;Philippe Morier-Genoud
2456;Philippe Arnal;La Mandragore;0.0;Comedy;9/11/1972;Claude Jade;Paul Barge;Angelo Bardi;Roger Pelletier;Nathalie Nerval
2457;Marcel Carné;Les Enfants du Paradis;7.8;Drama|Romance;15/03/1945;Arletty;Jean-Louis Barrault;Pierre Brasseur;María Casares;Marcel Herrand
2459;Yves Robert;Un éléphant ça trompe énormément;6.7;Comedy;22/09/1976;Jean Rochefort;Danièle Delorme;Anny Duperey;Claude Brasseur;Guy Bedos
2460;Julio Médem;Tierra;7.4;Drama|Romance|Science Fiction;20/05/1996;Carmelo Gómez;Emma Suárez;Karra Elejalde;Silke;Nancho Novo
